CUST_ID,DEPOSIT,Age,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PROFIT,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS
C10001,63079,40,920.12,0,0.1,1,0,0,12,1200,1083.301007,2172.697765
C10002,92169,23,717.76,0,0.1,0.916667,0,0,26,3000,608.263689,490.207013
C10003,201668,28,398.64,0,0.1,1,0,0,12,4000,1053.980464,12465.54938
C10004,13234,24,449.91,229.028245,0.1,1,0.333333,6,92,11250,2077.959051,1659.775075
C10005,380015,21,815.9,0,0.1,1,0,0,17,1800,2359.629958,86.329554
C10006,536857,42,793.79,7974.415626,0.1,0.916667,0.333333,13,13,9000,9479.043842,1425.426525
C10007,161597,27,399.6,0,0.1,1,0,0,12,3000,215.306142,163.005536
C10008,715286,44,233.28,0,0.1,1,0,0,12,1000,207.773715,164.748819
C10009,116227,70,2024.81,3183.583301,0.1,1,0.5,10,64,13000,4230.323491,3292.01503
C10010,673282,71,947.71,175.815755,0.1,1,0.166667,2,45,6000,645.998299,256.848991
C10011,165635,24,547.28,0,0.1,1,0,0,14,11000,8735.607835,17862.55831
C10012,224231,38,1055.64,0,0.1,1,0,0,20,8500,1430.341501,1318.71492
C10013,86381,54,987.67,0,0.1,1,0,0,87,3300,2543.953559,175.657825
C10014,175806,25,1887.64,1605.949371,0.1,1,0.083333,4,61,1850,3688.045998,3266.996777
C10015,57881,36,0,0,0.1,0,0,0,17,11000,2959.920544,623.656993
C10016,13492,21,400.26,293.844792,0.1,0.333333,0.083333,1,50,9000,4921.066897,594.756686
C10017,706995,23,0,0,0.1,0,0,0,22,16500,1275.229436,171.357189
C10018,818125,26,158.64,5626.004046,0.1,1,0.75,23,23,11000,4589.873897,1876.262988
C10019,403731,20,939.23,5251.228934,0.1,1,0.75,21,60,13500,3021.575846,2074.581541
C10020,197701,24,3952.24,370.737197,0.1,0.916667,0.083333,1,46,9000,6409.496345,9827.045323
C10021,353980,71,1346.28,0,0.1,1,0,0,12,2000,712.149153,54.79166
C10022,86207,53,389.96,0,0.1,1,0,0,31,4500,0,
C10023,498640,25,941.64,0,0.1,1,0,0,12,2500,1097.78942,176.610605
C10024,15622,69,1757.16,7205.520805,0.1,1,0.583333,21,64,9000,10857.94321,2469.571326
C10025,645856,21,1955.08,2510.352951,0.1,1,0.333333,8,81,8500,1509.423237,1834.031569
C10026,22376,35,377.62,0,0.1,1,0,0,25,3000,552.432305,207.720441
C10027,146432,25,2624.18,1686.599777,0.1,1,0.5,10,85,17000,1888.756861,2167.446204
C10028,287640,30,5580.85,0,0.1,1,0,0,75,8500,3564.977774,630.00413
C10029,70613,46,4101.29,0,0.1,1,0,0,52,17000,1015.311953,615.92402
C10030,223510,25,12560.85,0,0.1,1,0,0,216,18000,23018.57583,18621.01331
C10031,94713,24,0,723.308724,0.1,0,0.083333,1,12,2500,1061.292471,689.118919
C10032,305740,61,2342.83,0,0.1,1,0,0,97,6500,4416.41268,546.439139
C10033,4921,52,753.09,0,0.1,1,0,0,31,6500,2254.26002,329.29648
C10034,1367308,43,870.24,0,0.1,1,0,0,24,8000,835.839952,193.011166
C10035,10646,30,5832.42,2444.445738,0.1,1,0.75,26,216,20000,11717.30794,6042.391629
C10036,11976,43,1673.59,0,0.1,1,0,0,46,4000,2573.722764,95.342224
C10037,173451,22,226.24,3303.1523,0.1,0.5,0.75,15,46,7900,0,
C10038,104637,57,2196,0,0.1,0.666667,0,0,77,11000,14373.3929,1058.128452
C10039,161004,23,533.22,0,0.1,1,0,0,27,1200,1110.886425,208.298424
C10040,580059,22,469.98,0,0.1,0.833333,0,0,6,1000,367.109312,86.102479
C10041,59568,27,131.64,0,0.1,1,0,0,12,8000,2916.071564,243.199498
C10042,34944,25,924.6,0,0.1,1,0,0,12,1000,1202.711782,1747.037345
C10043,2311,20,3079.97,1620.685551,0.1,0.833333,0.583333,18,130,10500,10693.49585,347.641073
C10044,160845,49,1029.46,1626.351366,0.1,1,0.166667,3,90,14000,4639.513745,3192.306018
C10045,3624,44,1921.1,0,0.1,0.916667,0,0,44,20000,2814.231227,186.230835
C10046,0,38,2546.98,0,0.1,1,0,0,39,2500,1686.196344,303.361632
C10047,86100,24,357.47,0,0.1,0.916667,0,0,30,900,579.749308,693.894717
C10048,197381,24,260.4,0,0.1,0.583333,0,0,33,15000,1043.55929,182.429461
C10049,268,61,2640.5,0,0.1,1,0,0,123,7500,9423.715495,2925.275522
C10050,757,25,775.42,197.648111,0.1,0.916667,0.083333,1,39,1500,542.836917,471.496776
C10051,904762,66,1034.44,188.783221,0.1,1,0.083333,1,52,8500,5763.666926,582.589765
C10052,306121,47,5089.46,0,0.1,1,0,0,151,10000,11994.41815,8517.258683
C10053,4164,56,36.5,0,0.1,0.083333,0,0,17,7000,971.234118,985.954762
C10054,657148,30,225.6,0,0.1,0.75,0,0,23,14500,1508.016452,1370.519926
C10055,301902,24,1001.2,0,0.1,0.833333,0,0,39,4000,2384.542045,3868.70983
C10056,125590,25,3034.92,0,0.1,1,0,0,12,2900,2928.909865,2733.317012
C10057,762322,22,0,0,0.1,0,0,0,12,8000,0,
C10058,55848,49,566.85,0,0.1,0.916667,0,0,101,8000,5825.602115,318.305326
C10059,806,32,1117.22,0,0.1,1,0,0,49,3000,3574.480603,1328.897516
C10060,639,25,622.74,0,0.1,0.75,0,0,33,12000,1055.835407,236.619362
C10061,961222,26,79.66,0,0.1,1,0,0,12,1500,75.896288,75.967742
C10062,793856,46,319.92,13439.5704,0.1,1,0.416667,12,12,12000,10993.89211,2501.560923
C10063,234448,53,133.79,0,0.1,0.5,0,0,98,12500,2657.856602,1912.298544
C10064,1951,25,675.96,0,0.1,1,0,0,12,1000,1851.602411,1382.292833
C10065,533530,56,0,0,0.1,0,0,0,13,11500,1449.039414,183.298253
C10066,166859,30,1607.88,0,0.1,1,0,0,84,13500,1583.411686,2216.638394
C10067,204148,55,1673.89,103.610197,0.1,1,0.083333,1,93,4500,1350.370286,655.633916
C10068,775570,71,2378.5,191.331735,0.1,0.75,0.083333,1,81,3000,3792.095079,1737.893866
C10069,61426,26,4460.78,7540.30735,0.1,0.833333,0.5,12,72,10000,4758.209146,7256.951816
C10070,108233,22,3799.92,0,0.1,1,0,0,14,7500,5624.074339,9952.672511
C10071,273466,63,2322.68,0,0.1,1,0,0,50,6000,1116.967993,289.439818
C10072,390537,26,1533.83,438.469118,0.1,1,0.083333,1,99,8500,4317.191232,208.73456
C10073,513132,40,380,0,0.1,0.75,0,0,21,14000,1280.473571,193.369942
C10074,526576,24,5992.35,0,0.1,1,0,0,98,11500,26652.34432,1971.129435
C10075,351710,25,0,0,0.09167,0,0,0,11,1200,423.449696,196.301885
C10076,397114,23,428.53,0,0.09167,0.5,0,0,42,7500,5678.729613,1311.514878
C10077,299042,62,419.1,625.399386,0.09167,0.833333,0.333333,4,11,6250,1288.214909,2180.881868
C10078,62,51,1283.39,0,0.09167,0.833333,0,0,75,5700,9172.788366,2103.796148
C10079,339335,74,769.23,0,0.09167,0.833333,0,0,34,5500,858.976682,108.319927
C10080,5745,23,0,0,0.09167,0,0,0,217,2800,11628.71557,2000.990921
C10081,156263,23,440,0,0.09167,0.916667,0,0,22,4000,554.116542,185.091037
C10082,1904314,35,183.34,586.268966,0.09167,0.916667,0.25,3,18,1200,972.358048,184.524376
C10083,112812,22,747.61,1424.442602,0.09167,0.75,0.083333,1,42,15000,4756.654374,241.894073
C10084,28117,20,2903.6,0,0.09167,0.833333,0,0,34,11500,1412.597253,1825.176503
C10085,367051,22,239.9,5933.467329,0.09167,0.166667,0.75,24,15,10000,1919.630466,1731.549385
C10086,222986,22,0,1092.634704,0.09167,0,0.083333,1,21,5700,1215.454299,422.331098
C10087,8071,45,0,0,0.09167,0,0,0,11,7500,717.798364,670.049653
C10088,53595,25,87.69,1898.690655,0.09167,0.25,0.083333,1,38,10950,11198.92613,608.36886
C10089,256,58,365.53,15452.97758,0.09167,0.916667,0.333333,13,21,16500,12005.3074,1055.547896
C10090,132148,42,805.14,4335.919227,0.09091,0.818182,0.545455,21,17,4000,3056.424974,910.707525
C10091,172764,20,312.37,0,0.08333,0.75,0,0,14,6000,1990.044998,2161.428274
C10092,1116723,28,880,0,0.08333,0.583333,0,0,19,5000,1004.35474,1086.428906
C10093,2428,50,919.58,0,0.08333,0.833333,0,0,33,5000,1906.032044,3572.279251
C10094,26481,41,689.7,0,0.08333,0.833333,0,0,10,10000,746.691026,
C10095,767963,29,959.2,103.102091,0.08333,0.833333,0.083333,1,11,13500,1855.235407,468.196732
C10096,293324,64,0,1017.120578,0.08333,0,0.25,5,12,2300,0,
C10097,170601,25,2009.05,0,0.08333,0.75,0,0,22,1200,2612.760497,197.638558
C10098,835015,21,261.64,0,0.08333,0.833333,0,0,10,4000,376.758504,169.78292
C10099,6408,28,485.43,3947.86784,0.08333,0.666667,0.416667,10,23,11500,1658.563509,1887.413517
C10100,105,36,904.08,0,0.08333,0.75,0,0,25,8500,2187.930651,739.224894
C10101,401439,37,1255.68,263.884743,0.08333,0.75,0.083333,1,41,3000,1839.928884,1075.456585
C10102,557019,43,225.96,774.260436,0.08333,0.416667,0.25,6,28,11000,802.38543,229.655091
C10103,277277,47,1717.97,0,0.075,0.75,0,0,26,7500,1655.891435,251.137986
C10104,626942,22,738.38,1697.660901,0.075,0.75,0.333333,7,41,5000,1617.894416,1541.141605
C10105,120572,33,320,0,0.075,0.666667,0,0,8,1500,1438.910569,190.186542
C10106,13025,49,3106.89,0,0.075,0.666667,0,0,36,8000,2422.911622,187.046284
C10107,7565,76,0,0,0.075,0,0,0,9,6000,947.696134,217.027653
C10108,107100,21,9251.65,0,0.075,0.583333,0,0,41,19500,9695.650901,726.696049
C10109,27961,42,508.7,0,0.075,0.583333,0,0,13,1400,505.317328,438.324017
C10110,62726,22,1333.28,0,0.06667,0.583333,0,0,8,1800,1400.05777,2407.246035
C10111,357797,26,338.35,0,0.06667,0.583333,0,0,9,13000,1720.837373,744.613395
C10112,636953,26,176.68,0,0.06667,0.666667,0,0,8,2000,223.0686,13557.29726
C10113,2206,40,182.5,2236.145259,0.06667,0.416667,0.833333,16,8,10500,1601.448347,1648.851345
C10114,156568,23,886.11,0,0.06667,0.5,0,0,18,2500,1399.82834,1322.446601
C10115,666,42,0,1981.265503,0.06667,0,0.111111,1,11,3000,3110.052742,132.446091
C10116,131200,24,310,0,0.06667,0.666667,0,0,8,1000,417.016763,
C10117,169944,23,72.9,0,0.06667,0.583333,0,0,8,6000,6876.836205,1001.607366
C10118,65601,29,2859.18,27296.48576,0.06667,0.583333,0.833333,27,33,7000,28232.69446,1107.030803
C10119,8158,44,204.64,0,0.06667,0.583333,0,0,13,5000,357.802082,121.523416
C10120,350567,35,0,0,0.06667,0,0,0,11,6000,417.128532,389.138517
C10121,664420,38,246.06,412.399058,0.06667,0.5,0.083333,2,10,2000,577.050373,498.365419
C10122,68020,49,256.54,0,0.06667,0.333333,0,0,14,5000,1884.227778,136.639824
C10123,216368,25,784,0,0.06667,0.583333,0,0,13,21500,3219.621433,3068.125648
C10124,84080,38,581.9,0,0.06667,0.333333,0,0,17,4000,1795.012223,167.219681
C10125,16852,27,160.73,0,0.06667,0.416667,0,0,15,10000,441.588141,136.827952
C10126,107889,53,255.35,8530.648614,0.0625,0.25,0.875,37,9,12000,8113.297346,1012.415961
C10127,410471,46,740.29,2188.419607,0.05833,0.333333,0.25,11,27,3000,1262.309666,363.142736
C10128,80985,23,87.12,0,0.05833,0.166667,0,0,11,1800,777.451648,897.905444
C10129,1736,39,0,4621.93458,0.05833,0,0.416667,7,7,7000,1624.583114,2503.40234
C10130,178563,52,2309.78,0,0.05833,0.5,0,0,12,6500,1206.81188,99.372848
